City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,amalapuram,16.5833,82.0167,25.35,92,100,3.96,IN,1690228189
1,fort st. john,56.2499,-120.8529,16.94,67,100,2.06,CA,1690228189
2,blackmans bay,-43.0167,147.3167,9.07,82,95,2.12,AU,1690228189
3,alpine,32.835,-116.7664,38.49,43,0,3.09,US,1690228189
4,albany,42.6001,-73.9662,26.4,81,60,0.89,US,1690228051
5,invercargill,-46.4,168.35,7.35,87,94,4.08,NZ,1690228162
6,kapuskasing,49.4169,-82.4331,22.05,56,75,2.06,CA,1690228189
7,norderney,53.7,7.15,15.57,77,78,8.51,DE,1690228190
8,grytviken,-54.2811,-36.5092,-5.93,77,18,4.69,GS,1690228190
9,vadso,70.0744,29.7487,9.49,100,100,6.17,NO,1690228190
10,isafjordur,66.0755,-23.124,10.26,93,100,2.46,IS,1690228190
11,hermanus,-34.4187,19.2345,10.76,66,0,2.95,ZA,1690228190
12,barra do bugres,-15.0725,-57.1811,34.99,18,0,0.78,BR,1690228190
13,longyearbyen,78.2186,15.6401,11.91,66,40,7.2,SJ,1690228191
14,mahina,-17.5065,-149.489,27.87,78,75,5.14,PF,1690227926
15,puerto natales,-51.7236,-72.4875,-3.49,80,100,0.93,CL,1690228191
16,hasaki,35.7333,140.8333,23.5,90,73,3.6,JP,1690228192
17,manavalakurichi,8.1333,77.3,25.79,82,100,5.0,IN,1690228193
18,waitangi,-43.9535,-176.5597,12.12,98,100,2.68,NZ,1690228193
19,olonkinbyen,70.9221,-8.7187,4.98,92,100,5.92,SJ,1690228193
20,bilibino,68.0546,166.4372,10.07,91,100,0.73,RU,1690228193
21,colonia,50.9333,6.95,17.38,85,20,1.54,DE,1690228009
22,ust-nera,64.5667,143.2,15.68,70,96,2.89,RU,1690228179
23,coxim,-18.5067,-54.76,33.52,20,0,1.92,BR,1690228194
24,bethel,41.3712,-73.414,30.03,55,40,4.63,US,1690228087
25,san luis de la loma,17.2706,-100.8939,31.34,60,99,3.29,MX,1690228194
26,broken hill,-31.95,141.4333,5.67,92,0,4.18,AU,1690228194
27,port-aux-francais,-49.35,70.2167,3.83,72,100,11.1,TF,1690228194
28,dunedin,-45.8742,170.5036,6.56,97,28,0.45,NZ,1690228195
29,college,64.8569,-147.8028,28.04,61,40,0.0,US,1690228195
30,edinburgh of the seven seas,-37.0676,-12.3116,15.0,77,70,16.4,SH,1690228195
31,yellowknife,62.456,-114.3525,24.29,43,100,2.57,CA,1690228182
32,lompoc,34.6391,-120.4579,28.25,68,75,3.6,US,1690227946
33,aguas formosas,-17.0822,-40.9358,23.68,52,63,2.77,BR,1690228195
34,kingston,17.997,-76.7936,34.58,63,20,10.29,JM,1690228052
35,svislach,53.6404,27.9199,15.14,73,95,3.0,BY,1690228196
36,jamestown,42.097,-79.2353,27.51,66,100,4.63,US,1690228104
37,talnakh,69.4865,88.3972,13.45,72,85,0.84,RU,1690228196
38,sungai penuh,-2.0833,101.3833,16.68,92,43,0.5,ID,1690228196
39,papatowai,-46.5619,169.4708,6.9,87,81,3.36,NZ,1690228196
40,saipan,15.1355,145.701,27.58,100,0,2.57,MP,1690228196
41,markova,48.6758,24.4138,18.14,77,96,2.89,UA,1690228197
42,fale old settlement,-9.3852,-171.2468,28.87,71,9,7.81,TK,1690228197
43,thompson,55.7435,-97.8558,25.09,36,20,4.12,CA,1690228197
44,tual,-5.6667,132.75,25.21,76,66,11.13,ID,1690228197
45,alindao,5.0267,21.2088,23.77,88,97,1.23,CF,1690228197
46,georgetown,5.4112,100.3354,27.96,84,20,1.03,MY,1690228197
47,cabo san lucas,22.8909,-109.9124,35.9,69,20,7.72,MX,1690227914
48,horta,38.5333,-28.6333,23.34,83,75,4.02,PT,1690228198
49,nieuw amsterdam,5.8833,-55.0833,34.01,49,40,2.57,SR,1690228198
50,margaret river,-33.95,115.0667,16.58,80,11,8.96,AU,1690228109
51,ouahigouya,13.5828,-2.4216,29.91,52,59,3.11,BF,1690228198
52,tamanrasset,22.785,5.5228,32.95,14,80,4.12,DZ,1690228198
53,togur,58.3631,82.8265,15.13,95,43,1.41,RU,1690228198
54,howard springs,-12.497,131.047,15.95,50,10,3.63,AU,1690228198
55,mawlaik,23.6333,94.4167,25.34,96,94,0.4,MM,1690228199
56,kupang,-10.1667,123.5833,22.43,74,32,6.89,ID,1690228199
57,acarau,-2.8856,-40.12,27.71,69,13,7.89,BR,1690228199
58,mbaiki,3.8678,17.9892,23.14,87,48,0.65,CF,1690228199
59,carbonear,47.7332,-53.2148,25.97,91,94,5.6,CA,1690228199
60,villa gesell,-37.2639,-56.973,8.36,67,90,4.03,AR,1690228199
61,buedu,8.2803,-10.3719,22.35,93,100,0.7,SL,1690228199
62,vila velha,-20.3297,-40.2925,23.97,80,20,4.12,BR,1690227982
63,hithadhoo,-0.6,73.0833,28.27,78,100,6.83,MV,1690228123
64,bredasdorp,-34.5322,20.0403,7.67,74,0,2.36,ZA,1690228112
65,mitchell,43.7094,-98.0298,30.99,55,0,6.17,US,1690228105
66,gospic,44.5461,15.3747,27.83,55,64,3.96,HR,1690228200
